"election_id","office_id","district","office_local","office","seat","n_winners","selection_method","retention_method","open_seat","contested","runoff","special"
"FL_2006-11-07_GEN","AG_FL_000","FL","Attorney General","AG","000",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_1_15","1","Circuit Judge","TC2","15",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_4_34","4","Circuit Judge","TC2","34",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_5_29","5","Circuit Judge","TC2","29",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_5_31","5","Circuit Judge","TC2","31",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_6_9","6","Circuit Judge","TC2","9",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_6_32","6","Circuit Judge","TC2","32",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_7_27","7","Circuit Judge","TC2","27",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_8_4","8","Circuit Judge","TC2","4",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_9_5","9","Circuit Judge","TC2","5",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_10_27","10","Circuit Judge","TC2","27",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_11_78","11","Circuit Judge","TC2","78",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_11_80","11","Circuit Judge","TC2","80",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_12_21","12","Circuit Judge","TC2","21",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_13_32","13","Circuit Judge","TC2","32",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_13_43","13","Circuit Judge","TC2","43",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_13_44","13","Circuit Judge","TC2","44",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_13_45","13","Circuit Judge","TC2","45",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_15_13","15","Circuit Judge","TC2","13",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_17_57","17","Circuit Judge","TC2","57",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_17_58","17","Circuit Judge","TC2","58",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_18_20","18","Circuit Judge","TC2","20",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_19_19","19","Circuit Judge","TC2","19",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_20_29","20","Circuit Judge","TC2","29",1,"NPE",NA,NA,1,0,0
"FL_2006-11-07_GEN","TC2_20_30","20","Circuit Judge","TC2","30",1,"NPE",NA,NA,1,0,0
