"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2012-11-06_GEN","SA_11_000",NA,"Katherine Rundle","DEM",683276,1,1
"FL_2012-11-06_GEN","SA_11_000",NA,"Michele Samaroo","Write-In",51,0,0
"FL_2012-11-06_GEN","SA_11_000",NA,"Omar Malone","Write-In",65,0,0
"FL_2012-11-06_GEN","SA_12_000",NA,"Ed Brodsky","REP",191026,0.549,1
"FL_2012-11-06_GEN","SA_12_000",NA,"John Torraco","DEM",157027,0.451,0
"FL_2012-11-06_GEN","SA_15_000",NA,"Dave Aronberg","DEM",324975,0.577,1
"FL_2012-11-06_GEN","SA_15_000",NA,"Dina Keever","REP",213415,0.379,0
"FL_2012-11-06_GEN","SA_15_000",NA,"Robert Gershman",NA,24843,0.044,0
"FL_2012-11-06_GEN","SA_16_000",NA,"Catherine Vogel","DEM",20792,0.563,1
"FL_2012-11-06_GEN","SA_16_000",NA,"Mark Kohl","REP",16144,0.437,0
"FL_2012-11-06_GEN","SA_17_000",NA,"Jim Lewis","REP",218101,0.308,0
"FL_2012-11-06_GEN","SA_17_000",NA,"Mike Satz","DEM",489545,0.692,1
"FL_2012-11-06_GEN","SA_18_000",NA,"Phil Archer","REP",262017,0.579,1
"FL_2012-11-06_GEN","SA_18_000",NA,"Ryan Vescio","DEM",190433,0.421,0
"FL_2012-11-06_GEN","SA_2_000",NA,"Pete Williams","REP",93661,0.487,0
"FL_2012-11-06_GEN","SA_2_000",NA,"William Meggs","DEM",98651,0.513,1
"FL_2012-11-06_GEN","SA_3_000",NA,"Bill Brannon","DEM",32963,0.438,0
"FL_2012-11-06_GEN","SA_3_000",NA,"Jeff Siegmeister","REP",42379,0.562,1
"FL_2012-11-06_GEN","TC2_10_7",NA,"Christine Thornhill","NON",117157,0.466,0
"FL_2012-11-06_GEN","TC2_10_7",NA,"William Sites","NON",134445,0.534,1
"FL_2012-11-06_GEN","TC2_17_45",NA,"Julio Gonzalez,","NON",288180,0.491,0
"FL_2012-11-06_GEN","TC2_17_45",NA,"Laura Watson","NON",298781,0.509,1
"FL_2012-11-06_GEN","TC2_2_2",NA,"Barbara Hobbs","NON",97149,0.543,1
"FL_2012-11-06_GEN","TC2_2_2",NA,"Josefina Tamayo","NON",81813,0.457,0
"FL_2012-11-06_GEN","TC2_3_5",NA,"Angela Cancio","Write-In",939,0.015,0
"FL_2012-11-06_GEN","TC2_3_5",NA,"Wes Douglas","NON",61051,0.985,1
"FL_2012-11-06_GEN","TC2_4_1",NA,"Brian Davis","NON",398632,0.996,1
"FL_2012-11-06_GEN","TC2_4_1",NA,"Gerald Wilkerson","Write-In",1603,0.004,0
"FL_2012-11-06_GEN","TC2_9_7",NA,"Joel Wilson","NON",187226,0.42,0
"FL_2012-11-06_GEN","TC2_9_7",NA,"Leticia Marques","NON",258419,0.58,1
"FL_2012-11-06_GEN","SC_1_000",NA,"R. Lewis","NON",4899667,0.675,1
"FL_2012-11-06_GEN","SC_2_000",NA,"Barbara Pariente","NON",4934296,0.68,1
"FL_2012-11-06_GEN","SC_3_000",NA,"Peggy Quince","NON",4894677,0.677,1
"FL_2012-11-06_GEN","TC1_1_1",NA,"Simone Marstiller","NON",785397,0.617,1
"FL_2012-11-06_GEN","TC1_1_2",NA,"Stephanie Ray","NON",837709,0.661,1
"FL_2012-11-06_GEN","TC1_1_3",NA,"Ron Swanson","NON",821139,0.649,1
"FL_2012-11-06_GEN","TC1_1_4",NA,"Brad Thomas","NON",813714,0.645,1
"FL_2012-11-06_GEN","TC1_2_1",NA,"Anthony Black","NON",1482204,0.74,1
"FL_2012-11-06_GEN","TC1_2_2",NA,"Darryl Casanueva","NON",1448729,0.727,1
"FL_2012-11-06_GEN","TC1_2_3",NA,"Charles Davis","NON",1472042,0.744,1
"FL_2012-11-06_GEN","TC1_2_4",NA,"Edward LaRose","NON",1454754,0.739,1
"FL_2012-11-06_GEN","TC1_3_1",NA,"Angel Cortiñas","NON",554447,0.771,1
"FL_2012-11-06_GEN","TC1_3_2",NA,"Kevin Emas","NON",528978,0.75,1
"FL_2012-11-06_GEN","TC1_3_3",NA,"Ivan Fernandez","NON",549272,0.772,1
"FL_2012-11-06_GEN","TC1_3_4",NA,"Leslie Rothenberg","NON",536546,0.758,1
"FL_2012-11-06_GEN","TC1_3_5",NA,"Richard Suarez","NON",544130,0.771,1
"FL_2012-11-06_GEN","TC1_4_1",NA,"Burton Conner","NON",1033819,0.778,1
"FL_2012-11-06_GEN","TC1_4_2",NA,"Carole Taylor","NON",1015946,0.778,1
