"election_id","office_id","district","office_local","office","seat","n_winners","selection_method","retention_method","open_seat","contested","runoff","special"
"FL_1978-11-07_GEN","SA_20_000","20","State Attorney","SA","000",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","PD_20_000","20","Public Defender","PD","000",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_4_17","4","Circuit Judge","TC2","17",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_5_1","5","Circuit Judge","TC2","1",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_9_1","9","Circuit Judge","TC2","1",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_11_30","11","Circuit Judge","TC2","30",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_17_4","17","Circuit Judge","TC2","4",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_19_1","19","Circuit Judge","TC2","1",1,"NPE",NA,NA,1,0,0
"FL_1978-11-07_GEN","TC2_20_2","20","Circuit Judge","TC2","2",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI-D","AG_FL_000","FL","Attorney General","AG","000",1,"PE",NA,NA,1,0,0
"FL_1978-09-12_PRI-D","SA_3_000","3","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1978-09-12_PRI-D","SA_11_000","11","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_3_3","3","Circuit Judge","TC2","3",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_4_1","4","Circuit Judge","TC2","1",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_4_16","4","Circuit Judge","TC2","16",2,"NPE",NA,NA,1,1,0
"FL_1978-09-12_PRI","TC2_5_1","5","Circuit Judge","TC2","1",2,"NPE",NA,NA,1,1,0
"FL_1978-09-12_PRI","TC2_6_13","6","Circuit Judge","TC2","13",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_7_7","7","Circuit Judge","TC2","7",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_9_1","9","Circuit Judge","TC2","1",2,"NPE",NA,NA,1,1,0
"FL_1978-09-12_PRI","TC2_9_11","9","Circuit Judge","TC2","11",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_9_12","9","Circuit Judge","TC2","12",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_11_9","11","Circuit Judge","TC2","9",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_11_15","11","Circuit Judge","TC2","15",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_11_28","11","Circuit Judge","TC2","28",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_11_30","11","Circuit Judge","TC2","30",2,"NPE",NA,NA,1,1,0
"FL_1978-09-12_PRI","TC2_13_4","13","Circuit Judge","TC2","4",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_13_11","13","Circuit Judge","TC2","11",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_17_1","17","Circuit Judge","TC2","1",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_17_2","17","Circuit Judge","TC2","2",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_17_4","17","Circuit Judge","TC2","4",2,"NPE",NA,NA,1,1,0
"FL_1978-09-12_PRI","TC2_17_18","17","Circuit Judge","TC2","18",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_18_5","18","Circuit Judge","TC2","5",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_18_10","18","Circuit Judge","TC2","10",1,"NPE",NA,NA,1,0,0
"FL_1978-09-12_PRI","TC2_19_1","19","Circuit Judge","TC2","1",2,"NPE",NA,NA,1,1,0
"FL_1978-09-12_PRI","TC2_20_2","20","Circuit Judge","TC2","2",2,"NPE",NA,NA,1,1,0
"FL_1978-10-05_PRI-D","AG_FL_000","FL","Attorney General","AG","000",1,"PE",NA,NA,1,1,0
"FL_1980-11-04_GEN","SA_15_000","15","State Attorney","SA","000",1,"NPE",NA,NA,1,0,0
"FL_1980-11-04_GEN","PD_15_000","15","Public Defender","PD","000",1,"NPE",NA,NA,1,0,0
"FL_1980-11-04_GEN","PD_18_000","18","Public Defender","PD","000",1,"NPE",NA,NA,1,0,0
"FL_1980-11-04_GEN","TC2_2_000","2","Circuit Judge","TC2","000",1,"NPE",NA,NA,1,0,0
"FL_1980-11-04_GEN","TC2_17_8","17","Circuit Judge","TC2","8",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","SA_2_000","2","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","SA_5_000","5","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","SA_7_000","7","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","SA_14_000","14","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","SA_16_000","16","State Attorney","SA","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","PD_2_000","2","Public Defender","PD","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","PD_3_000","3","Public Defender","PD","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","PD_5_000","5","Public Defender","PD","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","PD_7_000","7","Public Defender","PD","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","PD_9_000","9","Public Defender","PD","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI-D","PD_10_000","10","Public Defender","PD","000",1,"PE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_4_5","4","Circuit Judge","TC2","5",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_6_2","6","Circuit Judge","TC2","2",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_7_5","7","Circuit Judge","TC2","5",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_9_2","9","Circuit Judge","TC2","2",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_10_3","10","Circuit Judge","TC2","3",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_11_3","11","Circuit Judge","TC2","3",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_11_7","11","Circuit Judge","TC2","7",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_11_8","11","Circuit Judge","TC2","8",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_13_7","13","Circuit Judge","TC2","7",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_15_3","15","Circuit Judge","TC2","3",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_17_4","17","Circuit Judge","TC2","4",1,"NPE",NA,NA,1,0,0
"FL_1980-09-09_PRI","TC2_17_8","17","Circuit Judge","TC2","8",2,"NPE",NA,NA,1,1,0
"FL_1980-09-09_PRI","TC2_18_1","18","Circuit Judge","TC2","1",1,"NPE",NA,NA,1,0,0
"FL_1980-10-07_PRI-D","SA_2_000","2","State Attorney","SA","000",1,"PE",NA,NA,1,1,0
"FL_1980-10-07_PRI","TC2_2_000","2","Circuit Judge","TC2","000",2,"NPE",NA,NA,1,1,0
"FL_1982-11-02_GEN","TC2_9_2","9","Circuit Judge","TC2","2",1,"NPE",NA,NA,1,0,0
"FL_1982-11-02_GEN","TC2_9_3","9","Circuit Judge","TC2","3",1,"NPE",NA,NA,1,0,0
"FL_1982-11-02_GEN","TC2_9_5","9","Circuit Judge","TC2","5",1,"NPE",NA,NA,1,0,0
"FL_1982-11-02_GEN","TC2_18_3","18","Circuit Judge","TC2","3",1,"NPE",NA,NA,1,0,0
