ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
9/2/1986	DEM	Democrat	USS	United States Senator	ALA	Alachua			0	0	Graham	Bob		20467
9/2/1986	DEM	Democrat	USS	United States Senator	BAK	Baker			0	0	Graham	Bob		3540
9/2/1986	DEM	Democrat	USS	United States Senator	BAY	Bay			0	0	Graham	Bob		9626
9/2/1986	DEM	Democrat	USS	United States Senator	BRA	Bradford			0	0	Graham	Bob		3670
9/2/1986	DEM	Democrat	USS	United States Senator	BRE	Brevard			0	0	Graham	Bob		20402
9/2/1986	DEM	Democrat	USS	United States Senator	BRO	Broward			0	0	Graham	Bob		85007
9/2/1986	DEM	Democrat	USS	United States Senator	CAL	Calhoun			0	0	Graham	Bob		2091
9/2/1986	DEM	Democrat	USS	United States Senator	CHA	Charlotte			0	0	Graham	Bob		4772
9/2/1986	DEM	Democrat	USS	United States Senator	CIT	Citrus			0	0	Graham	Bob		9061
9/2/1986	DEM	Democrat	USS	United States Senator	CLA	Clay			0	0	Graham	Bob		5618
9/2/1986	DEM	Democrat	USS	United States Senator	CLL	Collier			0	0	Graham	Bob		3338
9/2/1986	DEM	Democrat	USS	United States Senator	CLM	Columbia			0	0	Graham	Bob		5711
9/2/1986	DEM	Democrat	USS	United States Senator	DES	Desoto			0	0	Graham	Bob		2935
9/2/1986	DEM	Democrat	USS	United States Senator	DIX	Dixie			0	0	Graham	Bob		2813
9/2/1986	DEM	Democrat	USS	United States Senator	DUV	Duval			0	0	Graham	Bob		54056
9/2/1986	DEM	Democrat	USS	United States Senator	ESC	Escambia			0	0	Graham	Bob		24442
9/2/1986	DEM	Democrat	USS	United States Senator	FLA	Flagler			0	0	Graham	Bob		2002
9/2/1986	DEM	Democrat	USS	United States Senator	FRA	Franklin			0	0	Graham	Bob		1987
9/2/1986	DEM	Democrat	USS	United States Senator	GAD	Gadsden			0	0	Graham	Bob		6732
9/2/1986	DEM	Democrat	USS	United States Senator	GIL	Gilchrist			0	0	Graham	Bob		2061
9/2/1986	DEM	Democrat	USS	United States Senator	GLA	Glades			0	0	Graham	Bob		955
9/2/1986	DEM	Democrat	USS	United States Senator	GUL	Gulf			0	0	Graham	Bob		2985
9/2/1986	DEM	Democrat	USS	United States Senator	HAM	Hamilton			0	0	Graham	Bob		1820
9/2/1986	DEM	Democrat	USS	United States Senator	HAR	Hardee			0	0	Graham	Bob		2325
9/2/1986	DEM	Democrat	USS	United States Senator	HEN	Hendry			0	0	Graham	Bob		2227
9/2/1986	DEM	Democrat	USS	United States Senator	HER	Hernando			0	0	Graham	Bob		9482
9/2/1986	DEM	Democrat	USS	United States Senator	HIG	Highlands			0	0	Graham	Bob		5570
9/2/1986	DEM	Democrat	USS	United States Senator	HIL	Hillsborough			0	0	Graham	Bob		56300
9/2/1986	DEM	Democrat	USS	United States Senator	HOL	Holmes			0	0	Graham	Bob		2946
9/2/1986	DEM	Democrat	USS	United States Senator	IND	Indian River			0	0	Graham	Bob		3839
9/2/1986	DEM	Democrat	USS	United States Senator	JAC	Jackson			0	0	Graham	Bob		5679
9/2/1986	DEM	Democrat	USS	United States Senator	JEF	Jefferson			0	0	Graham	Bob		2329
9/2/1986	DEM	Democrat	USS	United States Senator	LAF	Lafayette			0	0	Graham	Bob		1607
9/2/1986	DEM	Democrat	USS	United States Senator	LAK	Lake			0	0	Graham	Bob		7139
9/2/1986	DEM	Democrat	USS	United States Senator	LEE	Lee			0	0	Graham	Bob		14517
9/2/1986	DEM	Democrat	USS	United States Senator	LEO	Leon			0	0	Graham	Bob		25756
9/2/1986	DEM	Democrat	USS	United States Senator	LEV	Levy			0	0	Graham	Bob		4459
9/2/1986	DEM	Democrat	USS	United States Senator	LIB	Liberty			0	0	Graham	Bob		1283
9/2/1986	DEM	Democrat	USS	United States Senator	MAD	Madison			0	0	Graham	Bob		3187
9/2/1986	DEM	Democrat	USS	United States Senator	MAN	Manatee			0	0	Graham	Bob		11329
