ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	ALA	Alachua			0	0	Frank Mann	Steve Pajcic	/	7641
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BAK	Baker			0	0	Frank Mann	Steve Pajcic	/	845
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BAY	Bay			0	0	Frank Mann	Steve Pajcic	/	5233
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BRA	Bradford			0	0	Frank Mann	Steve Pajcic	/	1044
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BRE	Brevard			0	0	Frank Mann	Steve Pajcic	/	8722
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BRO	Broward			0	0	Frank Mann	Steve Pajcic	/	49083
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CAL	Calhoun			0	0	Frank Mann	Steve Pajcic	/	780
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CHA	Charlotte			0	0	Frank Mann	Steve Pajcic	/	2999
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CIT	Citrus			0	0	Frank Mann	Steve Pajcic	/	3503
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CLA	Clay			0	0	Frank Mann	Steve Pajcic	/	2453
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CLL	Collier			0	0	Frank Mann	Steve Pajcic	/	2008
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CLM	Columbia			0	0	Frank Mann	Steve Pajcic	/	1918
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DES	Desoto			0	0	Frank Mann	Steve Pajcic	/	571
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DIX	Dixie			0	0	Frank Mann	Steve Pajcic	/	669
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DUV	Duval			0	0	Frank Mann	Steve Pajcic	/	33612
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	ESC	Escambia			0	0	Frank Mann	Steve Pajcic	/	10510
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	FLA	Flagler			0	0	Frank Mann	Steve Pajcic	/	765
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	FRA	Franklin			0	0	Frank Mann	Steve Pajcic	/	1037
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GAD	Gadsden			0	0	Frank Mann	Steve Pajcic	/	2918
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GIL	Gilchrist			0	0	Frank Mann	Steve Pajcic	/	446
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GLA	Glades			0	0	Frank Mann	Steve Pajcic	/	335
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GUL	Gulf			0	0	Frank Mann	Steve Pajcic	/	1427
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HAM	Hamilton			0	0	Frank Mann	Steve Pajcic	/	691
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HAR	Hardee			0	0	Frank Mann	Steve Pajcic	/	646
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HEN	Hendry			0	0	Frank Mann	Steve Pajcic	/	589
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HER	Hernando			0	0	Frank Mann	Steve Pajcic	/	2782
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HIG	Highlands			0	0	Frank Mann	Steve Pajcic	/	1493
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HIL	Hillsborough			0	0	Frank Mann	Steve Pajcic	/	23179
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HOL	Holmes			0	0	Frank Mann	Steve Pajcic	/	863
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	IND	Indian River			0	0	Frank Mann	Steve Pajcic	/	1475
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	JAC	Jackson			0	0	Frank Mann	Steve Pajcic	/	1601
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	JEF	Jefferson			0	0	Frank Mann	Steve Pajcic	/	1038
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LAF	Lafayette			0	0	Frank Mann	Steve Pajcic	/	328
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LAK	Lake			0	0	Frank Mann	Steve Pajcic	/	2890
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LEE	Lee			0	0	Frank Mann	Steve Pajcic	/	11898
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LEO	Leon			0	0	Frank Mann	Steve Pajcic	/	14612
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LEV	Levy			0	0	Frank Mann	Steve Pajcic	/	1187
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LIB	Liberty			0	0	Frank Mann	Steve Pajcic	/	390
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MAD	Madison			0	0	Frank Mann	Steve Pajcic	/	1059
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MAN	Manatee			0	0	Frank Mann	Steve Pajcic	/	5549
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MRN	Marion			0	0	Frank Mann	Steve Pajcic	/	4547
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MRT	Martin			0	0	Frank Mann	Steve Pajcic	/	1589
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DAD	Miami-Dade			0	0	Frank Mann	Steve Pajcic	/	65704
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MON	Monroe			0	0	Frank Mann	Steve Pajcic	/	4139
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	NAS	Nassau			0	0	Frank Mann	Steve Pajcic	/	1767
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	OKA	Okaloosa			0	0	Frank Mann	Steve Pajcic	/	5017
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	OKE	Okeechobee			0	0	Frank Mann	Steve Pajcic	/	528
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	ORA	Orange			0	0	Frank Mann	Steve Pajcic	/	11350
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	OSC	Osceola			0	0	Frank Mann	Steve Pajcic	/	1447
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	PAL	Palm Beach			0	0	Frank Mann	Steve Pajcic	/	39843
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	PAS	Pasco			0	0	Frank Mann	Steve Pajcic	/	7795
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	PIN	Pinellas			0	0	Frank Mann	Steve Pajcic	/	24541
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	POL	Polk			0	0	Frank Mann	Steve Pajcic	/	11078
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	PUT	Putnam			0	0	Frank Mann	Steve Pajcic	/	2791
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	SAN	Santa Rosa			0	0	Frank Mann	Steve Pajcic	/	2885
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	SAR	Sarasota			0	0	Frank Mann	Steve Pajcic	/	5098
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	SEM	Seminole			0	0	Frank Mann	Steve Pajcic	/	3686
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	STJ	St. Johns			0	0	Frank Mann	Steve Pajcic	/	2328
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	STL	St. Lucie			0	0	Frank Mann	Steve Pajcic	/	2767
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	SUM	Sumter			0	0	Frank Mann	Steve Pajcic	/	858
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	SUW	Suwannee			0	0	Frank Mann	Steve Pajcic	/	1449
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	TAY	Taylor			0	0	Frank Mann	Steve Pajcic	/	886
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	UNI	Union			0	0	Frank Mann	Steve Pajcic	/	390
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	VOL	Volusia			0	0	Frank Mann	Steve Pajcic	/	12664
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	WAK	Wakulla			0	0	Frank Mann	Steve Pajcic	/	975
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	WAL	Walton			0	0	Frank Mann	Steve Pajcic	/	1840
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	WAS	Washington			0	0	Frank Mann	Steve Pajcic	/	676
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	ALA	Alachua			0	0	Marshall L. Harris	Jim Smith	/	6165
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BAK	Baker			0	0	Marshall L. Harris	Jim Smith	/	2625
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BAY	Bay			0	0	Marshall L. Harris	Jim Smith	/	7052
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BRA	Bradford			0	0	Marshall L. Harris	Jim Smith	/	2624
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BRE	Brevard			0	0	Marshall L. Harris	Jim Smith	/	11302
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	BRO	Broward			0	0	Marshall L. Harris	Jim Smith	/	25322
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CAL	Calhoun			0	0	Marshall L. Harris	Jim Smith	/	1782
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CHA	Charlotte			0	0	Marshall L. Harris	Jim Smith	/	1536
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CIT	Citrus			0	0	Marshall L. Harris	Jim Smith	/	6677
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CLA	Clay			0	0	Marshall L. Harris	Jim Smith	/	4134
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CLL	Collier			0	0	Marshall L. Harris	Jim Smith	/	721
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	CLM	Columbia			0	0	Marshall L. Harris	Jim Smith	/	5154
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DES	Desoto			0	0	Marshall L. Harris	Jim Smith	/	1168
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DIX	Dixie			0	0	Marshall L. Harris	Jim Smith	/	1493
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DUV	Duval			0	0	Marshall L. Harris	Jim Smith	/	24571
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	ESC	Escambia			0	0	Marshall L. Harris	Jim Smith	/	17146
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	FLA	Flagler			0	0	Marshall L. Harris	Jim Smith	/	759
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	FRA	Franklin			0	0	Marshall L. Harris	Jim Smith	/	1615
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GAD	Gadsden			0	0	Marshall L. Harris	Jim Smith	/	3191
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GIL	Gilchrist			0	0	Marshall L. Harris	Jim Smith	/	1537
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GLA	Glades			0	0	Marshall L. Harris	Jim Smith	/	479
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	GUL	Gulf			0	0	Marshall L. Harris	Jim Smith	/	2412
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HAM	Hamilton			0	0	Marshall L. Harris	Jim Smith	/	1415
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HAR	Hardee			0	0	Marshall L. Harris	Jim Smith	/	1917
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HEN	Hendry			0	0	Marshall L. Harris	Jim Smith	/	758
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HER	Hernando			0	0	Marshall L. Harris	Jim Smith	/	3100
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HIG	Highlands			0	0	Marshall L. Harris	Jim Smith	/	2599
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HIL	Hillsborough			0	0	Marshall L. Harris	Jim Smith	/	27892
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	HOL	Holmes			0	0	Marshall L. Harris	Jim Smith	/	2805
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	IND	Indian River			0	0	Marshall L. Harris	Jim Smith	/	1638
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	JAC	Jackson			0	0	Marshall L. Harris	Jim Smith	/	5069
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	JEF	Jefferson			0	0	Marshall L. Harris	Jim Smith	/	1382
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LAF	Lafayette			0	0	Marshall L. Harris	Jim Smith	/	1289
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LAK	Lake			0	0	Marshall L. Harris	Jim Smith	/	4138
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LEE	Lee			0	0	Marshall L. Harris	Jim Smith	/	3725
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LEO	Leon			0	0	Marshall L. Harris	Jim Smith	/	17057
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LEV	Levy			0	0	Marshall L. Harris	Jim Smith	/	2948
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	LIB	Liberty			0	0	Marshall L. Harris	Jim Smith	/	1162
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MAD	Madison			0	0	Marshall L. Harris	Jim Smith	/	1934
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MAN	Manatee			0	0	Marshall L. Harris	Jim Smith	/	6398
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MRN	Marion			0	0	Marshall L. Harris	Jim Smith	/	8720
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MRT	Martin			0	0	Marshall L. Harris	Jim Smith	/	1263
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	DAD	Miami-Dade			0	0	Marshall L. Harris	Jim Smith	/	39048
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	MON	Monroe			0	0	Marshall L. Harris	Jim Smith	/	3579
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	NAS	Nassau			0	0	Marshall L. Harris	Jim Smith	/	3150
9/30/1986	DEM	Democrat	GOV	Governor and Lieutenant Governor	OKA	Okaloosa			0	0	Marshall L. Harris	Jim Smith	/	7225
