ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/8/1988	REP	Republican	PRE	President of the United States	ALA	Alachua			0	0	Dan Quayle	George Bush	/	30124
11/8/1988	REP	Republican	PRE	President of the United States	BAK	Baker			0	0	Dan Quayle	George Bush	/	3414
11/8/1988	REP	Republican	PRE	President of the United States	BAY	Bay			0	0	Dan Quayle	George Bush	/	31712
11/8/1988	REP	Republican	PRE	President of the United States	BRA	Bradford			0	0	Dan Quayle	George Bush	/	4218
11/8/1988	REP	Republican	PRE	President of the United States	BRE	Brevard			0	0	Dan Quayle	George Bush	/	104721
11/8/1988	REP	Republican	PRE	President of the United States	BRO	Broward			0	0	Dan Quayle	George Bush	/	220196
11/8/1988	REP	Republican	PRE	President of the United States	CAL	Calhoun			0	0	Dan Quayle	George Bush	/	2420
11/8/1988	REP	Republican	PRE	President of the United States	CHA	Charlotte			0	0	Dan Quayle	George Bush	/	28879
11/8/1988	REP	Republican	PRE	President of the United States	CIT	Citrus			0	0	Dan Quayle	George Bush	/	21052
11/8/1988	REP	Republican	PRE	President of the United States	CLA	Clay			0	0	Dan Quayle	George Bush	/	25882
11/8/1988	REP	Republican	PRE	President of the United States	CLL	Collier			0	0	Dan Quayle	George Bush	/	38910
11/8/1988	REP	Republican	PRE	President of the United States	CLM	Columbia			0	0	Dan Quayle	George Bush	/	7759
11/8/1988	REP	Republican	PRE	President of the United States	DES	Desoto			0	0	Dan Quayle	George Bush	/	4237
11/8/1988	REP	Republican	PRE	President of the United States	DIX	Dixie			0	0	Dan Quayle	George Bush	/	2027
11/8/1988	REP	Republican	PRE	President of the United States	DUV	Duval			0	0	Dan Quayle	George Bush	/	127875
11/8/1988	REP	Republican	PRE	President of the United States	ESC	Escambia			0	0	Dan Quayle	George Bush	/	64774
11/8/1988	REP	Republican	PRE	President of the United States	FLA	Flagler			0	0	Dan Quayle	George Bush	/	6494
11/8/1988	REP	Republican	PRE	President of the United States	FRA	Franklin			0	0	Dan Quayle	George Bush	/	1911
11/8/1988	REP	Republican	PRE	President of the United States	GAD	Gadsden			0	0	Dan Quayle	George Bush	/	5987
11/8/1988	REP	Republican	PRE	President of the United States	GIL	Gilchrist			0	0	Dan Quayle	George Bush	/	1854
11/8/1988	REP	Republican	PRE	President of the United States	GLA	Glades			0	0	Dan Quayle	George Bush	/	1546
