"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Brown","Brown","IN_2018-05-08_PRI","TC2_Brown_1_1",NA,"Greg Bowes","Greg","Bowes",NA,NA,NA,NA,NA,NA,NA
"2","Clay","Clay","IN_2018-05-08_PRI","TC2_Clay_1_1",NA,"Joseph Dom Trout","Joseph","Trout",NA,NA,NA,NA,NA,NA,NA
"3","Delaware","Delaware","IN_2018-05-08_PRI","TC2_Delaware_1_1",NA,"Kimberly S. Dowling","Kimberly","Dowling",NA,NA,NA,NA,NA,NA,NA
"4","Brown","Brown","IN_2018-05-08_PRI","TC2_Brown_1_1",NA,"Kristopher Kritzer","Kristopher","Kritzer",NA,NA,NA,NA,NA,NA,NA
"5","Clark","Clark","IN_2018-05-08_PRI","TC2_Clark_1_1",NA,"Vicki Carmichael","Vicki","Carmichael",NA,NA,NA,NA,NA,NA,NA
"6","Carroll","Carroll","IN_2018-05-08_PRI","TC2_Carroll_1_1",NA,"Benjamin A. Diener","Benjamin","Diener",NA,NA,NA,NA,NA,NA,NA
"7","Clinton","Clinton","IN_2018-05-08_PRI","TC2_Clinton_1_1",NA,"Bradley K. Mohler","Bradley","Mohler",NA,NA,NA,NA,NA,NA,NA
"8","Blackford","Blackford","IN_2018-05-08_PRI","TC2_Blackford_1_1",NA,"Brian Bade","Brian","Bade",NA,NA,NA,NA,NA,NA,NA
"9","Adams","Adams","IN_2018-05-08_PRI","TC2_Adams_1_1",NA,"Chad E. Kukelhan","Chad","Kukelhan",NA,NA,NA,NA,NA,NA,NA
"10","Clark","Clark","IN_2018-05-08_PRI","TC2_Clark_1_1",NA,"Dan Moore","Dan","Moore",NA,NA,NA,NA,NA,NA,NA
"11","Brown","Brown","IN_2018-05-08_PRI","TC2_Brown_1_1",NA,"Jacob (Jake) Moore","Jacob","Moore",NA,NA,NA,NA,NA,NA,NA
"12","Blackford","Blackford","IN_2018-05-08_PRI","TC2_Blackford_1_1",NA,"Joelle A. Freiburger","Joelle","Freiburger",NA,NA,NA,NA,NA,NA,NA
"13","Boone","Boone","IN_2018-05-08_PRI","TC2_Boone_1_1",NA,"Lori Schein","Lori","Schein",NA,NA,NA,NA,NA,NA,NA
"14","Brown","Brown","IN_2018-05-08_PRI","TC2_Brown_1_1",NA,"Mary Wertz","Mary","Wertz",NA,NA,NA,NA,NA,NA,NA
"15","Blackford","Blackford","IN_2018-05-08_PRI","TC2_Blackford_1_1",NA,"Nick Barry","Nick","Barry",NA,NA,NA,NA,NA,NA,NA
"16","Cass","Cass","IN_2018-05-08_PRI","TC2_Cass_1_1",NA,"Sheryl M. Pherson","Sheryl","Pherson",NA,NA,NA,NA,NA,NA,NA
"17","Cass","Cass","IN_2018-05-08_PRI","TC2_Cass_1_1",NA,"Stephen Roger Kitts II","Stephen","II",NA,NA,NA,NA,NA,NA,NA
"18","Boone","Boone","IN_2018-05-08_PRI","TC2_Boone_1_1",NA,"Tamie Jo Morog","Tamie","Morog",NA,NA,NA,NA,NA,NA,NA
"19","Decatur","Decatur","IN_2018-05-08_PRI","TC2_Decatur_1_1",NA,"Timothy B. Day","Timothy","Day",NA,NA,NA,NA,NA,NA,NA
"20","Boone","Boone","IN_2018-05-08_PRI","TC2_Boone_1_1",NA,"Todd J. Meyer","Todd","Meyer",NA,NA,NA,NA,NA,NA,NA
"21","Brown","Brown","IN_2018-05-08_PRI","TC2_Brown_1_1",NA,"Tracey Yeager Stogsdill","Tracey","Stogsdill",NA,NA,NA,NA,NA,NA,NA
"22","Clay","Clay","IN_2018-05-08_PRI","TC1_Clay_1_1",NA,"Jason D. Brown","Jason","Brown",NA,NA,NA,NA,NA,NA,NA
"23","Elkhart","Elkhart","IN_2018-05-08_PRI","TC1_Elkhart_1_1",NA,"David C. Bonfiglio","David","Bonfiglio",NA,NA,NA,NA,NA,NA,NA
"24","Bartholomew","Bartholomew","IN_2018-05-08_PRI","TC1_Bartholomew_1_1",NA,"James Jim Worton","James","Worton",NA,NA,NA,NA,NA,NA,NA
"25","DeKalb","DeKalb","IN_2018-05-08_PRI","TC1_DeKalb_1_1",NA,"Monte L. Brown","Monte","Brown",NA,NA,NA,NA,NA,NA,NA
"26","Cass","Cass","IN_2018-05-08_PRI","TC1_Cass_1_1",NA,"Rick Maughmer","Rick","Maughmer",NA,NA,NA,NA,NA,NA,NA
"27","Clay","Clay","IN_2018-05-08_PRI","TC1_Clay_1_1",NA,"Robert Alex Pell","Robert","Pell",NA,NA,NA,NA,NA,NA,NA
"28","Dearborn","Dearborn","IN_2018-05-08_PRI","TC1_Dearborn_1_1",NA,"Sally A. McLaughlin","Sally","McLaughlin",NA,NA,NA,NA,NA,NA,NA
"29","Elkhart","Elkhart","IN_2018-05-08_PRI","TC1_Elkhart_1_1",NA,"Stephen R. Bowers","Stephen","Bowers",NA,NA,NA,NA,NA,NA,NA
"30","Blackford","Blackford","IN_2018-05-08_PRI","DA_Blackford_1_1",NA,"Aaron M. Henderson","Aaron","Henderson",NA,NA,NA,NA,NA,NA,NA
"31","Dubois","Dubois","IN_2018-05-08_PRI","DA_Dubois_1_1",NA,"Anthony D. Quinn","Anthony","Quinn",NA,NA,NA,NA,NA,NA,NA
"32","Delaware","Delaware","IN_2018-05-08_PRI","DA_Delaware_1_1",NA,"Eric M. Hoffman","Eric","Hoffman",NA,NA,NA,NA,NA,NA,NA
"33","Clinton","Clinton","IN_2018-05-08_PRI","DA_Clinton_1_1",NA,"Anthony J. Sommer","Anthony","Sommer",NA,NA,NA,NA,NA,NA,NA
"34","DeKalb","DeKalb","IN_2018-05-08_PRI","DA_DeKalb_1_1",NA,"ClaraMary Winebrenner","ClaraMary","Winebrenner",NA,NA,NA,NA,NA,NA,NA
"35","Daviess","Daviess","IN_2018-05-08_PRI","DA_Daviess_1_1",NA,"Daniel S. Murrie","Daniel","Murrie",NA,NA,NA,NA,NA,NA,NA
"36","Clay","Clay","IN_2018-05-08_PRI","DA_Clay_1_1",NA,"Emily Clarke","Emily","Clarke",NA,NA,NA,NA,NA,NA,NA
"37","Clark","Clark","IN_2018-05-08_PRI","DA_Clark_1_1",NA,"Jeremy Mull","Jeremy","Mull",NA,NA,NA,NA,NA,NA,NA
"38","Adams","Adams","IN_2018-05-08_PRI","DA_Adams_1_1",NA,"Jeremy W. Brown","Jeremy","Brown",NA,NA,NA,NA,NA,NA,NA
"39","Benton","Benton","IN_2018-05-08_PRI","DA_Benton_1_1",NA,"John C. Wright","John","Wright",NA,NA,NA,NA,NA,NA,NA
"40","Allen","Allen","IN_2018-05-08_PRI","DA_Allen_1_1",NA,"Karen Richards","Karen","Richards",NA,NA,NA,NA,NA,NA,NA
"41","Boone","Boone","IN_2018-05-08_PRI","DA_Boone_1_1",NA,"Kent T. Eastwood","Kent","Eastwood",NA,NA,NA,NA,NA,NA,NA
"42","Blackford","Blackford","IN_2018-05-08_PRI","DA_Blackford_1_1",NA,"Kevin N. Basey","Kevin","Basey",NA,NA,NA,NA,NA,NA,NA
"43","Crawford","Crawford","IN_2018-05-08_PRI","DA_Crawford_1_1",NA,"Lester V. Shelton","Lester","Shelton",NA,NA,NA,NA,NA,NA,NA
