"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Indiana","Benton","IN_2020-11-03_GEN","AG_Benton_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"2","Indiana","Brown","IN_2020-11-03_GEN","AG_Brown_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"3","Indiana","Crawford","IN_2020-11-03_GEN","AG_Crawford_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"4","Indiana","Dubois","IN_2020-11-03_GEN","AG_Dubois_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"5","Indiana","Adams","IN_2020-11-03_GEN","AG_Adams_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"6","Indiana","Clay","IN_2020-11-03_GEN","AG_Clay_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"7","Indiana","Clinton","IN_2020-11-03_GEN","AG_Clinton_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"8","Indiana","DeKalb","IN_2020-11-03_GEN","AG_DeKalb_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"9","Indiana","Blackford","IN_2020-11-03_GEN","AG_Blackford_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"10","Indiana","Clark","IN_2020-11-03_GEN","AG_Clark_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"11","Indiana","Decatur","IN_2020-11-03_GEN","AG_Decatur_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"12","Indiana","Delaware","IN_2020-11-03_GEN","AG_Delaware_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"13","Indiana","Elkhart","IN_2020-11-03_GEN","AG_Elkhart_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"14","Indiana","Allen","IN_2020-11-03_GEN","AG_Allen_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"15","Indiana","Bartholomew","IN_2020-11-03_GEN","AG_Bartholomew_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"16","Indiana","Boone","IN_2020-11-03_GEN","AG_Boone_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"17","Indiana","Carroll","IN_2020-11-03_GEN","AG_Carroll_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"18","Indiana","Cass","IN_2020-11-03_GEN","AG_Cass_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"19","Indiana","Daviess","IN_2020-11-03_GEN","AG_Daviess_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"20","Indiana","Dearborn","IN_2020-11-03_GEN","AG_Dearborn_1_1",NA,"Jonathan Weinzapfel","Jonathan","Weinzapfel",NA,NA,NA,NA,NA,NA,NA
"21","Indiana","Benton","IN_2020-11-03_GEN","AG_Benton_1_1",NA,"Todd Rokita","Todd","Rokita",NA,NA,NA,NA,NA,NA,NA
"22","Indiana","Clay","IN_2020-11-03_GEN","AG_Clay_1_1",NA,"Todd Rokita","Todd","Rokita",NA,NA,NA,NA,NA,NA,NA
