"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2014-11-04_GEN","TC1_Adams_1_1",NA,"Patrick R. Miller","REP",5939,"1.00"
"2","IN_2014-11-04_GEN","DA_Adams_26_1",NA,"Christopher E. Harvey","DEM",2782,"0.36"
"3","IN_2014-11-04_GEN","DA_Adams_26_1",NA,"Jeremy W. Brown","REP",4865,"0.64"
"4","IN_2014-11-04_GEN","TC2_Allen_38_1",NA,"Thomas J. Felts","REP",55714,"1.00"
"5","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Daniel J. Borgmann","Non-Partisan",14349,"0.25"
"6","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"James P. Posey","Non-Partisan",17431,"0.30"
"7","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Stanley A. Levine","Non-Partisan",25861,"0.45"
"8","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Craig J. Bobay","Non-Partisan",47842,"1.00"
"9","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Fran C. Gull","Non-Partisan",54209,"1.00"
"10","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"John F. Surbeck Jr","Non-Partisan",53238,"1.00"
"11","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Dan Heath","Non-Partisan",53215,"1.00"
"12","IN_2014-11-04_GEN","DA_Allen_38_1",NA,"Karen Richards","REP",56507,"1.00"
"13","IN_2014-11-04_GEN","TC1_Bartholomew_1_2",NA,"Kathleen (Kitty) Tighe Coriden","REP",13313,"1.00"
"14","IN_2014-11-04_GEN","DA_Bartholomew_9_1",NA,"William M. (Bill) Nash","REP",13097,"1.00"
"15","IN_2014-11-04_GEN","TC2_Benton_76_1",NA,"Rex W. Kepner","REP",1991,"1.00"
"16","IN_2014-11-04_GEN","DA_Benton_76_1",NA,"John C. Wright","REP",1863,"1.00"
"17","IN_2014-11-04_GEN","DA_Blackford_71_1",NA,"Kevin N. Basey","REP",2128,"1.00"
"18","IN_2014-11-04_GEN","TC1_Boone_1_1",NA,"Matt Kincaid","REP",11962,"1.00"
"19","IN_2014-11-04_GEN","TC1_Boone_1_2",NA,"Bruce Petit","REP",11731,"1.00"
"20","IN_2014-11-04_GEN","DA_Boone_20_1",NA,"Todd J. Meyer","REP",11645,"1.00"
"21","IN_2014-11-04_GEN","DA_Brown_88_1",NA,"James R. Oliver","DEM",2472,"0.46"
"22","IN_2014-11-04_GEN","DA_Brown_88_1",NA,"Ted Adams","REP",2860,"0.54"
"23","IN_2014-11-04_GEN","TC1_Carroll_1_1",NA,"Kurtis Glenn Fouts","REP",3314,"1.00"
"24","IN_2014-11-04_GEN","DA_Carroll_74_1",NA,"Robert T. (Rob) Ives","REP",3180,"1.00"
"25","IN_2014-11-04_GEN","DA_Cass_29_1",NA,"Mark Kelly Leeman","DEM",3184,"0.40"
"26","IN_2014-11-04_GEN","DA_Cass_29_1",NA,"Lisa L. Swaim","REP",4803,"0.60"
"27","IN_2014-11-04_GEN","TC2_Clark_4_1",NA,"Andrew (Drew) Adams","DEM",18872,"1.00"
"28","IN_2014-11-04_GEN","TC2_Clark_4_2",NA,"Laura A. Harbison","DEM",10896,"0.37"
"29","IN_2014-11-04_GEN","TC2_Clark_4_2",NA,"Brad Jacobs","REP",18532,"0.63"
"30","IN_2014-11-04_GEN","TC2_Clark_4_3",NA,"Joe P. Weber","DEM",15086,"0.52"
"31","IN_2014-11-04_GEN","TC2_Clark_4_3",NA,"Kyle P. Williams","REP",14092,"0.48"
"32","IN_2014-11-04_GEN","DA_Clark_4_1",NA,"Robert G. Bottorff II","DEM",12279,"0.41"
"33","IN_2014-11-04_GEN","DA_Clark_4_1",NA,"Jeremy Mull","REP",17374,"0.59"
"34","IN_2014-11-04_GEN","DA_Clay_13_1",NA,"Robert Alex Pell","REP",5944,"1.00"
"35","IN_2014-11-04_GEN","TC1_Clinton_1_1",NA,"Justin H. Hunter","REP",4980,"1.00"
"36","IN_2014-11-04_GEN","DA_Clinton_45_1",NA,"Anthony J. Sommer","REP",4956,"1.00"
"37","IN_2014-11-04_GEN","DA_Crawford_77_1",NA,"Cheryl J. Hillenburg","DEM",1738,"0.47"
"38","IN_2014-11-04_GEN","DA_Crawford_77_1",NA,"Nicholas W. Haverstock","REP",1999,"0.53"
"39","IN_2014-11-04_GEN","TC2_Daviess_49_1",NA,"Gregory A. Smith","REP",5560,"1.00"
"40","IN_2014-11-04_GEN","TC1_Daviess_1_1",NA,"Dean A. Sobecki","REP",5569,"1.00"
"41","IN_2014-11-04_GEN","DA_Daviess_49_1",NA,"Dan Murrie","REP",5369,"1.00"
"42","IN_2014-11-04_GEN","TC1_Dearborn_1_1",NA,"Jonathan N. Cleary","REP",9027,"1.00"
"43","IN_2014-11-04_GEN","DA_Dearborn_7_1",NA,"Aaron Negangard","REP",8624,"1.00"
"44","IN_2014-11-04_GEN","TC1_Decatur_1_1",NA,"Matthew D. Bailey","REP",5753,"1.00"
"45","IN_2014-11-04_GEN","DA_Decatur_69_1",NA,"Christopher M. Tebbe","DEM",3019,"0.46"
"46","IN_2014-11-04_GEN","DA_Decatur_69_1",NA,"Nathan W. Harter IV","REP",3604,"0.54"
"47","IN_2014-11-04_GEN","TC1_DeKalb_1_1",NA,"Kevin P. Wallace","DEM",4359,"1.00"
