"","election_id","state","date","type","runoff","special"
"1","IN_2002-11-05_GEN","IN","2002-11-05","GEN",0,0
"2","IN_2002-05-07_PRI","IN","2002-05-07","PRI",0,0
"3","IN_2004-11-02_GEN","IN","2004-11-02","GEN",0,0
"4","IN_2004-05-04_PRI","IN","2004-05-04","PRI",0,0
"5","IN_2006-11-07_GEN","IN","2006-11-07","GEN",0,0
"6","IN_2006-05-02_PRI","IN","2006-05-02","PRI",0,0
"7","IN_2008-11-04_GEN","IN","2008-11-04","GEN",0,0
"8","IN_2008-05-06_PRI","IN","2008-05-06","PRI",0,0
"9","IN_2010-11-02_GEN","IN","2010-11-02","GEN",0,0
"10","IN_2010-05-04_PRI","IN","2010-05-04","PRI",0,0
"11","IN_2012-11-06_GEN","IN","2012-11-06","GEN",0,0
"12","IN_2012-05-08_PRI","IN","2012-05-08","PRI",0,0
"13","IN_2014-11-04_GEN","IN","2014-11-04","GEN",0,0
"14","IN_2014-05-06_PRI","IN","2014-05-06","PRI",0,0
"15","IN_2016-11-08_GEN","IN","2016-11-08","GEN",0,0
"16","IN_2016-05-03_PRI","IN","2016-05-03","PRI",0,0
"17","IN_2018-11-06_GEN","IN","2018-11-06","GEN",0,0
"18","IN_2018-05-08_PRI","IN","2018-05-08","PRI",0,0
"19","IN_2020-11-03_GEN","IN","2020-11-03","GEN",0,0
"20","IN_2020-06-02_PRI","IN","2020-06-02","PRI",0,0

