"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2002-11-05_GEN","CK2_Adams_1_1",NA,"Nanette S. Nidlinger","REP",7667,1
"2","IN_2002-11-05_GEN","CK1_Adams_1_1",NA,"Jon Bond","DEM",3129,0.34
"3","IN_2002-11-05_GEN","CK1_Adams_1_1",NA,"Lisa L. Tennies","LIB",433,0.05
"4","IN_2002-11-05_GEN","CK1_Adams_1_1",NA,"Brian  Bishop","REP",5569,0.61
"5","IN_2002-11-05_GEN","SF_Adams_1_1",NA,"Charles E. (Chuck) Padgett, Jr.","REP",4891,1
"6","IN_2002-11-05_GEN","TC1_Adams_1_1",NA,"James A.  Heimann","DEM",4817,0.51
"7","IN_2002-11-05_GEN","TC1_Adams_1_1",NA,"Patrick R. Miller","REP",4679,0.49
"8","IN_2002-11-05_GEN","DA_Adams_26_1",NA,"Christopher E. Harvey","DEM",6762,1
"9","IN_2002-11-05_GEN","CK2_Allen_1_1",NA,"Therese  M. Brown","REP",45364,1
"10","IN_2002-11-05_GEN","CK1_Allen_1_1",NA,"Jon Bond","DEM",19129,0.3
"11","IN_2002-11-05_GEN","CK1_Allen_1_1",NA,"Lisa L. Tennies","LIB",2631,0.04
"12","IN_2002-11-05_GEN","CK1_Allen_1_1",NA,"Brian  Bishop","REP",42656,0.66
"13","IN_2002-11-05_GEN","SF_Allen_1_1",NA,"Jim Herman","REP",52001,1
"14","IN_2002-11-05_GEN","TC2_Allen_38_1",NA,"Thomas J. Felts","REP",49258,1
"15","IN_2002-11-05_GEN","TC1_Allen_1_1",NA,"Stanley A. Levine","Non-Partisan",41870,1
"16","IN_2002-11-05_GEN","TC1_Allen_1_1",NA,"John F. Surbeck Jr.","Non-Partisan",43780,1
"17","IN_2002-11-05_GEN","TC1_Allen_1_1",NA,"Fran C. Gull","Non-Partisan",45304,1
"18","IN_2002-11-05_GEN","TC1_Allen_1_1",NA,"Dan Heath","Non-Partisan",44607,1
"19","IN_2002-11-05_GEN","TC1_Allen_1_1",NA,"Stephen M. Sims","Non-Partisan",44922,1
"20","IN_2002-11-05_GEN","DA_Allen_38_1",NA,"Roger M. Miller","DEM",18062,0.27
"21","IN_2002-11-05_GEN","DA_Allen_38_1",NA,"Karen Richards","REP",48068,0.73
"22","IN_2002-11-05_GEN","CK2_Bartholomew_1_1",NA,"Norma  J. Trimpe","REP",9891,1
"23","IN_2002-11-05_GEN","CK1_Bartholomew_1_1",NA,"Jon Bond","DEM",5577,0.32
"24","IN_2002-11-05_GEN","CK1_Bartholomew_1_1",NA,"Lisa L. Tennies","LIB",644,0.04
"25","IN_2002-11-05_GEN","CK1_Bartholomew_1_1",NA,"Brian  Bishop","REP",11232,0.64
"26","IN_2002-11-05_GEN","SF_Bartholomew_1_1",NA,"Kenneth (Kenny) Whipker","REP",12214,1
"27","IN_2002-11-05_GEN","TC1_Bartholomew_1_2",NA,"Kathleen (Kitty) Tighe Coriden","DEM",8450,0.47
"28","IN_2002-11-05_GEN","TC1_Bartholomew_1_2",NA,"Roderick D. McGillivray","REP",9715,0.53
"29","IN_2002-11-05_GEN","DA_Bartholomew_9_1",NA,"Joseph R. Koenig","DEM",9063,0.49
"30","IN_2002-11-05_GEN","DA_Bartholomew_9_1",NA,"William M. Nash","REP",9304,0.51
"31","IN_2002-11-05_GEN","CK2_Benton_1_1",NA,"Karen L. Daily","REP",2567,1
"32","IN_2002-11-05_GEN","CK1_Benton_1_1",NA,"Jon Bond","DEM",829,0.29
"33","IN_2002-11-05_GEN","CK1_Benton_1_1",NA,"Lisa L. Tennies","LIB",223,0.08
"34","IN_2002-11-05_GEN","CK1_Benton_1_1",NA,"Brian  Bishop","REP",1822,0.63
"35","IN_2002-11-05_GEN","SF_Benton_1_1",NA,"Ernest C. Winchester","REP",1714,1
"36","IN_2002-11-05_GEN","TC2_Benton_76_1",NA,"Rex Kepner","REP",2597,1
"37","IN_2002-11-05_GEN","DA_Benton_76_1",NA,"Jud Barce","REP",2470,1
"38","IN_2002-11-05_GEN","CK1_Blackford_1_1",NA,"Jon Bond","DEM",1523,0.42
