County,Office,Candidate,Party,District,Votes
Boone,United States Senator,Steve Osborn,Libertarian,Statewide,1058
Brown,United States Senator,Steve Osborn,Libertarian,Statewide,743
Dearborn,United States Senator,Steve Osborn,Libertarian,Statewide,1759
Decatur,United States Senator,Steve Osborn,Libertarian,Statewide,660
Delaware,United States Senator,Steve Osborn,Libertarian,Statewide,2740
Elkhart,United States Senator,Steve Osborn,Libertarian,Statewide,3798
Adams,United States Senator,Steve Osborn,Libertarian,Statewide,743
Benton,United States Senator,Steve Osborn,Libertarian,Statewide,310
Clay,United States Senator,Steve Osborn,Libertarian,Statewide,987
Crawford,United States Senator,Steve Osborn,Libertarian,Statewide,488
Allen,United States Senator,Steve Osborn,Libertarian,Statewide,7838
Bartholomew,United States Senator,Steve Osborn,Libertarian,Statewide,1834
Carroll,United States Senator,Steve Osborn,Libertarian,Statewide,768
Cass,United States Senator,Steve Osborn,Libertarian,Statewide,1094
Daviess,United States Senator,Steve Osborn,Libertarian,Statewide,586
DeKalb,United States Senator,Steve Osborn,Libertarian,Statewide,1258
Dubois,United States Senator,Steve Osborn,Libertarian,Statewide,1007
Blackford,United States Senator,Steve Osborn,Libertarian,Statewide,483
Clark,United States Senator,Steve Osborn,Libertarian,Statewide,3358
Clinton,United States Senator,Steve Osborn,Libertarian,Statewide,856
Bartholomew,United States Senator,Richard G. Lugar,Republican,Statewide,16544
Benton,United States Senator,Richard G. Lugar,Republican,Statewide,2086
Blackford,United States Senator,Richard G. Lugar,Republican,Statewide,2902
Cass,United States Senator,Richard G. Lugar,Republican,Statewide,8066
Decatur,United States Senator,Richard G. Lugar,Republican,Statewide,5755
Allen,United States Senator,Richard G. Lugar,Republican,Statewide,65782
Boone,United States Senator,Richard G. Lugar,Republican,Statewide,11428
Clinton,United States Senator,Richard G. Lugar,Republican,Statewide,6076
Dearborn,United States Senator,Richard G. Lugar,Republican,Statewide,9091
Elkhart,United States Senator,Richard G. Lugar,Republican,Statewide,34342
Adams,United States Senator,Richard G. Lugar,Republican,Statewide,7143
Carroll,United States Senator,Richard G. Lugar,Republican,Statewide,4859
Clay,United States Senator,Richard G. Lugar,Republican,Statewide,6597
Crawford,United States Senator,Richard G. Lugar,Republican,Statewide,2318
Daviess,United States Senator,Richard G. Lugar,Republican,Statewide,6193
DeKalb,United States Senator,Richard G. Lugar,Republican,Statewide,7967
Brown,United States Senator,Richard G. Lugar,Republican,Statewide,4181
Clark,United States Senator,Richard G. Lugar,Republican,Statewide,21690
Delaware,United States Senator,Richard G. Lugar,Republican,Statewide,21571
Dubois,United States Senator,Richard G. Lugar,Republican,Statewide,9432
Bartholomew,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,1
Carroll,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,3
Daviess,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,1
Decatur,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Dubois,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Benton,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Blackford,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Cass,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Allen,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,10
Clinton,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,2
Adams,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Boone,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,0
Dearborn,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,2
Elkhart,United States Senator,Jack H. Baldwin,W/I (Democratic),Statewide,26
Allen,United States Senator,Mark Pool,W/I (Independent),Statewide,28
Bartholomew,United States Senator,Mark Pool,W/I (Independent),Statewide,8
Benton,United States Senator,Mark Pool,W/I (Independent),Statewide,0
Blackford,United States Senator,Mark Pool,W/I (Independent),Statewide,0
Cass,United States Senator,Mark Pool,W/I (Independent),Statewide,1
Boone,United States Senator,Mark Pool,W/I (Independent),Statewide,0
Clinton,United States Senator,Mark Pool,W/I (Independent),Statewide,5
Dearborn,United States Senator,Mark Pool,W/I (Independent),Statewide,9
Elkhart,United States Senator,Mark Pool,W/I (Independent),Statewide,48
Adams,United States Senator,Mark Pool,W/I (Independent),Statewide,3
Carroll,United States Senator,Mark Pool,W/I (Independent),Statewide,0
Clay,United States Senator,Mark Pool,W/I (Independent),Statewide,4
DeKalb,United States Senator,Mark Pool,W/I (Independent),Statewide,0
Brown,United States Senator,Mark Pool,W/I (Independent),Statewide,1
Decatur,United States Senator,Mark Pool,W/I (Independent),Statewide,0
Dubois,United States Senator,Mark Pool,W/I (Independent),Statewide,2
Brown,Secretary of State,Joe Pearson,Democratic,Statewide,2656
Dearborn,Secretary of State,Joe Pearson,Democratic,Statewide,5159
Decatur,Secretary of State,Joe Pearson,Democratic,Statewide,2409
Delaware,Secretary of State,Joe Pearson,Democratic,Statewide,16525
Elkhart,Secretary of State,Joe Pearson,Democratic,Statewide,16033
Adams,Secretary of State,Joe Pearson,Democratic,Statewide,3555
Benton,Secretary of State,Joe Pearson,Democratic,Statewide,930
Clark,Secretary of State,Joe Pearson,Democratic,Statewide,16736
Clay,Secretary of State,Joe Pearson,Democratic,Statewide,3789
Crawford,Secretary of State,Joe Pearson,Democratic,Statewide,2039
Allen,Secretary of State,Joe Pearson,Democratic,Statewide,34217
Bartholomew,Secretary of State,Joe Pearson,Democratic,Statewide,7803
Blackford,Secretary of State,Joe Pearson,Democratic,Statewide,2466
Boone,Secretary of State,Joe Pearson,Democratic,Statewide,3732
Carroll,Secretary of State,Joe Pearson,Democratic,Statewide,2577
Cass,Secretary of State,Joe Pearson,Democratic,Statewide,4662
Daviess,Secretary of State,Joe Pearson,Democratic,Statewide,2806
DeKalb,Secretary of State,Joe Pearson,Democratic,Statewide,4279
Clinton,Secretary of State,Joe Pearson,Democratic,Statewide,2893
Dubois,Secretary of State,Joe Pearson,Democratic,Statewide,6175
Blackford,Secretary of State,Mike Kole,Libertarian,Statewide,110
Brown,Secretary of State,Mike Kole,Libertarian,Statewide,293
Clark,Secretary of State,Mike Kole,Libertarian,Statewide,1009
Decatur,Secretary of State,Mike Kole,Libertarian,Statewide,245
Delaware,Secretary of State,Mike Kole,Libertarian,Statewide,899
Elkhart,Secretary of State,Mike Kole,Libertarian,Statewide,1493
Benton,Secretary of State,Mike Kole,Libertarian,Statewide,108
Crawford,Secretary of State,Mike Kole,Libertarian,Statewide,171
Dubois,Secretary of State,Mike Kole,Libertarian,Statewide,368
Allen,Secretary of State,Mike Kole,Libertarian,Statewide,2380
Bartholomew,Secretary of State,Mike Kole,Libertarian,Statewide,683
Boone,Secretary of State,Mike Kole,Libertarian,Statewide,476
Carroll,Secretary of State,Mike Kole,Libertarian,Statewide,188
Cass,Secretary of State,Mike Kole,Libertarian,Statewide,365
Daviess,Secretary of State,Mike Kole,Libertarian,Statewide,219
Dearborn,Secretary of State,Mike Kole,Libertarian,Statewide,520
Adams,Secretary of State,Mike Kole,Libertarian,Statewide,249
Clay,Secretary of State,Mike Kole,Libertarian,Statewide,282
Clinton,Secretary of State,Mike Kole,Libertarian,Statewide,245
DeKalb,Secretary of State,Mike Kole,Libertarian,Statewide,338
Bartholomew,Secretary of State,Todd Rokita,Republican,Statewide,12197
Blackford,Secretary of State,Todd Rokita,Republican,Statewide,1406
Boone,Secretary of State,Todd Rokita,Republican,Statewide,9845
Dearborn,Secretary of State,Todd Rokita,Republican,Statewide,6804
DeKalb,Secretary of State,Todd Rokita,Republican,Statewide,5901
Elkhart,Secretary of State,Todd Rokita,Republican,Statewide,25870
Adams,Secretary of State,Todd Rokita,Republican,Statewide,5110
Clark,Secretary of State,Todd Rokita,Republican,Statewide,13736
Clay,Secretary of State,Todd Rokita,Republican,Statewide,4240
