County,Office,Candidate,Party,District,Votes
Allen,President,Barack Obama,Democratic,Statewide,35103
Crawford,President,Barack Obama,Democratic,Statewide,775
Benton,President,Barack Obama,Democratic,Statewide,557
Blackford,President,Barack Obama,Democratic,Statewide,1024
Clark,President,Barack Obama,Democratic,Statewide,8710
Adams,President,Barack Obama,Democratic,Statewide,2283
Boone,President,Barack Obama,Democratic,Statewide,4848
Clay,President,Barack Obama,Democratic,Statewide,2028
Clinton,President,Barack Obama,Democratic,Statewide,1710
Dearborn,President,Barack Obama,Democratic,Statewide,1782
Elkhart,President,Barack Obama,Democratic,Statewide,16034
Bartholomew,President,Barack Obama,Democratic,Statewide,5989
Brown,President,Barack Obama,Democratic,Statewide,1991
Carroll,President,Barack Obama,Democratic,Statewide,1625
Cass,President,Barack Obama,Democratic,Statewide,2513
Daviess,President,Barack Obama,Democratic,Statewide,1554
Decatur,President,Barack Obama,Democratic,Statewide,1274
DeKalb,President,Barack Obama,Democratic,Statewide,2557
Delaware,President,Barack Obama,Democratic,Statewide,12971
Dubois,President,Barack Obama,Democratic,Statewide,4463
Adams,President,Hillary Clinton,Democratic,Statewide,3147
Clinton,President,Hillary Clinton,Democratic,Statewide,2562
Crawford,President,Hillary Clinton,Democratic,Statewide,2140
Delaware,President,Hillary Clinton,Democratic,Statewide,14743
Dubois,President,Hillary Clinton,Democratic,Statewide,5472
Allen,President,Hillary Clinton,Democratic,Statewide,27535
Bartholomew,President,Hillary Clinton,Democratic,Statewide,6903
Benton,President,Hillary Clinton,Democratic,Statewide,625
Clark,President,Hillary Clinton,Democratic,Statewide,18094
Decatur,President,Hillary Clinton,Democratic,Statewide,2326
DeKalb,President,Hillary Clinton,Democratic,Statewide,3427
Elkhart,President,Hillary Clinton,Democratic,Statewide,11183
Boone,President,Hillary Clinton,Democratic,Statewide,4454
Clay,President,Hillary Clinton,Democratic,Statewide,4011
Dearborn,President,Hillary Clinton,Democratic,Statewide,5270
Blackford,President,Hillary Clinton,Democratic,Statewide,1941
Brown,President,Hillary Clinton,Democratic,Statewide,2009
Carroll,President,Hillary Clinton,Democratic,Statewide,2033
Cass,President,Hillary Clinton,Democratic,Statewide,3978
Daviess,President,Hillary Clinton,Democratic,Statewide,2291
Brown,President, Mitt Romney,Republican,Statewide,57
Dearborn,President, Mitt Romney,Republican,Statewide,246
Delaware,President, Mitt Romney,Republican,Statewide,303
Bartholomew,President, Mitt Romney,Republican,Statewide,380
Blackford,President, Mitt Romney,Republican,Statewide,28
Boone,President, Mitt Romney,Republican,Statewide,274
Carroll,President, Mitt Romney,Republican,Statewide,85
Cass,President, Mitt Romney,Republican,Statewide,153
Daviess,President, Mitt Romney,Republican,Statewide,92
