County,Office,Candidate,Party,District,Votes
Dearborn,United States Senator,Dan Coats,Republican,Statewide,2123
Benton,United States Senator,Dan Coats,Republican,Statewide,569
Brown,United States Senator,Dan Coats,Republican,Statewide,795
Clark,United States Senator,Dan Coats,Republican,Statewide,3381
Crawford,United States Senator,Dan Coats,Republican,Statewide,391
Boone,United States Senator,Dan Coats,Republican,Statewide,2596
Decatur,United States Senator,Dan Coats,Republican,Statewide,1856
Delaware,United States Senator,Dan Coats,Republican,Statewide,3371
Elkhart,United States Senator,Dan Coats,Republican,Statewide,8104
Adams,United States Senator,Dan Coats,Republican,Statewide,1733
Clay,United States Senator,Dan Coats,Republican,Statewide,813
Clinton,United States Senator,Dan Coats,Republican,Statewide,1976
DeKalb,United States Senator,Dan Coats,Republican,Statewide,2561
Dubois,United States Senator,Dan Coats,Republican,Statewide,637
Allen,United States Senator,Dan Coats,Republican,Statewide,16933
Bartholomew,United States Senator,Dan Coats,Republican,Statewide,2598
Blackford,United States Senator,Dan Coats,Republican,Statewide,540
Carroll,United States Senator,Dan Coats,Republican,Statewide,1155
Cass,United States Senator,Dan Coats,Republican,Statewide,2329
Daviess,United States Senator,Dan Coats,Republican,Statewide,547
Allen,United States Senator,"Don Bates, Jr.",Republican,Statewide,559
Carroll,United States Senator,"Don Bates, Jr.",Republican,Statewide,167
Crawford,United States Senator,"Don Bates, Jr.",Republican,Statewide,40
Daviess,United States Senator,"Don Bates, Jr.",Republican,Statewide,99
Dubois,United States Senator,"Don Bates, Jr.",Republican,Statewide,109
Bartholomew,United States Senator,"Don Bates, Jr.",Republican,Statewide,461
Brown,United States Senator,"Don Bates, Jr.",Republican,Statewide,101
Cass,United States Senator,"Don Bates, Jr.",Republican,Statewide,286
Decatur,United States Senator,"Don Bates, Jr.",Republican,Statewide,617
Delaware,United States Senator,"Don Bates, Jr.",Republican,Statewide,349
Adams,United States Senator,"Don Bates, Jr.",Republican,Statewide,56
Benton,United States Senator,"Don Bates, Jr.",Republican,Statewide,69
Clark,United States Senator,"Don Bates, Jr.",Republican,Statewide,240
Clay,United States Senator,"Don Bates, Jr.",Republican,Statewide,119
Clinton,United States Senator,"Don Bates, Jr.",Republican,Statewide,325
Blackford,United States Senator,"Don Bates, Jr.",Republican,Statewide,32
Boone,United States Senator,"Don Bates, Jr.",Republican,Statewide,300
Dearborn,United States Senator,"Don Bates, Jr.",Republican,Statewide,428
DeKalb,United States Senator,"Don Bates, Jr.",Republican,Statewide,109
Elkhart,United States Senator,"Don Bates, Jr.",Republican,Statewide,562
Blackford,United States Senator,John N. Hostettler,Republican,Statewide,167
Cass,United States Senator,John N. Hostettler,Republican,Statewide,932
Dearborn,United States Senator,John N. Hostettler,Republican,Statewide,862
DeKalb,United States Senator,John N. Hostettler,Republican,Statewide,508
Delaware,United States Senator,John N. Hostettler,Republican,Statewide,1192
Adams,United States Senator,John N. Hostettler,Republican,Statewide,277
Clark,United States Senator,John N. Hostettler,Republican,Statewide,1045
Clay,United States Senator,John N. Hostettler,Republican,Statewide,1006
Clinton,United States Senator,John N. Hostettler,Republican,Statewide,1366
Allen,United States Senator,John N. Hostettler,Republican,Statewide,2941
Bartholomew,United States Senator,John N. Hostettler,Republican,Statewide,1699
Benton,United States Senator,John N. Hostettler,Republican,Statewide,294
Carroll,United States Senator,John N. Hostettler,Republican,Statewide,695
Crawford,United States Senator,John N. Hostettler,Republican,Statewide,227
Daviess,United States Senator,John N. Hostettler,Republican,Statewide,1846
Dubois,United States Senator,John N. Hostettler,Republican,Statewide,759
Boone,United States Senator,John N. Hostettler,Republican,Statewide,1977
Brown,United States Senator,John N. Hostettler,Republican,Statewide,589
Decatur,United States Senator,John N. Hostettler,Republican,Statewide,1007
Elkhart,United States Senator,John N. Hostettler,Republican,Statewide,1597
Adams,United States Senator,Marlin A. Stutzman,Republican,Statewide,1162
Carroll,United States Senator,Marlin A. Stutzman,Republican,Statewide,836
Clinton,United States Senator,Marlin A. Stutzman,Republican,Statewide,1219
Crawford,United States Senator,Marlin A. Stutzman,Republican,Statewide,102
Daviess,United States Senator,Marlin A. Stutzman,Republican,Statewide,360
DeKalb,United States Senator,Marlin A. Stutzman,Republican,Statewide,2926
Dubois,United States Senator,Marlin A. Stutzman,Republican,Statewide,263
Blackford,United States Senator,Marlin A. Stutzman,Republican,Statewide,311
Brown,United States Senator,Marlin A. Stutzman,Republican,Statewide,670
Cass,United States Senator,Marlin A. Stutzman,Republican,Statewide,1545
Dearborn,United States Senator,Marlin A. Stutzman,Republican,Statewide,730
Elkhart,United States Senator,Marlin A. Stutzman,Republican,Statewide,7807
Allen,United States Senator,Marlin A. Stutzman,Republican,Statewide,11592
Bartholomew,United States Senator,Marlin A. Stutzman,Republican,Statewide,2092
Boone,United States Senator,Marlin A. Stutzman,Republican,Statewide,2470
Benton,United States Senator,Marlin A. Stutzman,Republican,Statewide,318
Clark,United States Senator,Marlin A. Stutzman,Republican,Statewide,746
Clay,United States Senator,Marlin A. Stutzman,Republican,Statewide,1141
Decatur,United States Senator,Marlin A. Stutzman,Republican,Statewide,1329
Delaware,United States Senator,Marlin A. Stutzman,Republican,Statewide,1775
Brown,United States Senator,Richard Behney,Republican,Statewide,109
Delaware,United States Senator,Richard Behney,Republican,Statewide,376
Dubois,United States Senator,Richard Behney,Republican,Statewide,99
Allen,United States Senator,Richard Behney,Republican,Statewide,476
Clinton,United States Senator,Richard Behney,Republican,Statewide,297
Dearborn,United States Senator,Richard Behney,Republican,Statewide,688
Elkhart,United States Senator,Richard Behney,Republican,Statewide,394
Adams,United States Senator,Richard Behney,Republican,Statewide,74
Boone,United States Senator,Richard Behney,Republican,Statewide,375
Carroll,United States Senator,Richard Behney,Republican,Statewide,203
Clay,United States Senator,Richard Behney,Republican,Statewide,102
Crawford,United States Senator,Richard Behney,Republican,Statewide,44
Daviess,United States Senator,Richard Behney,Republican,Statewide,56
DeKalb,United States Senator,Richard Behney,Republican,Statewide,73
Bartholomew,United States Senator,Richard Behney,Republican,Statewide,354
Benton,United States Senator,Richard Behney,Republican,Statewide,60
Blackford,United States Senator,Richard Behney,Republican,Statewide,33
Cass,United States Senator,Richard Behney,Republican,Statewide,323
Clark,United States Senator,Richard Behney,Republican,Statewide,159
Decatur,United States Senator,Richard Behney,Republican,Statewide,151
Benton,United States Representative,Peter J. Visclosky,Democratic,District 1,101
Benton,United States Representative,Adam A. Dombkowski,Republican,District 1,166
Benton,United States Representative,Eric L. Olson,Republican,District 1,169
Benton,United States Representative,Jayson Reeves,Republican,District 1,113
Benton,United States Representative,Mark Leyva,Republican,District 1,287
Benton,United States Representative,Michael Petyo,Republican,District 1,24
Benton,United States Representative,Peter Lindemulder III,Republican,District 1,114
Benton,United States Representative,Ric Holtz,Republican,District 1,106
Benton,United States Representative,Robert Pastore,Republican,District 1,161
Carroll,United States Representative,Joe Donnelly,Democratic,District 2,515
Cass,United States Representative,Joe Donnelly,Democratic,District 2,1452
Elkhart,United States Representative,Joe Donnelly,Democratic,District 2,1295
Carroll,United States Representative,Jack Edward Jordan,Republican,District 2,722
Elkhart,United States Representative,Jack Edward Jordan,Republican,District 2,948
Cass,United States Representative,Jack Edward Jordan,Republican,District 2,2720
Elkhart,United States Representative,Jackie Walorski,Republican,District 2,5184
Carroll,United States Representative,Jackie Walorski,Republican,District 2,1425
Cass,United States Representative,Jackie Walorski,Republican,District 2,1589
Elkhart,United States Representative,Martin A. Dolan,Republican,District 2,206
Carroll,United States Representative,Martin A. Dolan,Republican,District 2,561
Cass,United States Representative,Martin A. Dolan,Republican,District 2,681
Carroll,United States Representative,Tony Hvfvgpd  Zirkle,Republican,District 2,148
Cass,United States Representative,Tony Hvfvgpd  Zirkle,Republican,District 2,177
Elkhart,United States Representative,Tony Hvfvgpd  Zirkle,Republican,District 2,108
Elkhart,United States Representative,Thomas Allen Schrader,Democratic,District 3,396
Allen,United States Representative,Thomas Allen Schrader,Democratic,District 3,768
DeKalb,United States Representative,Thomas Allen Schrader,Democratic,District 3,144
Elkhart,United States Representative,Thomas Hayhurst,Democratic,District 3,652
Allen,United States Representative,Thomas Hayhurst,Democratic,District 3,5003
DeKalb,United States Representative,Thomas Hayhurst,Democratic,District 3,676
Allen,United States Representative,Bob Thomas,Republican,District 3,10435
Elkhart,United States Representative,Bob Thomas,Republican,District 3,3658
DeKalb,United States Representative,Bob Thomas,Republican,District 3,2346
DeKalb,United States Representative,Gregory (Greg) Dickman,Republican,District 3,412
Elkhart,United States Representative,Gregory (Greg) Dickman,Republican,District 3,231
Allen,United States Representative,Gregory (Greg) Dickman,Republican,District 3,668
Allen,United States Representative,Mark Edward Souder,Republican,District 3,16221
Elkhart,United States Representative,Mark Edward Souder,Republican,District 3,6677
DeKalb,United States Representative,Mark Edward Souder,Republican,District 3,2532
Allen,United States Representative,Phillip J. (Phil) Troyer,Republican,District 3,4242
DeKalb,United States Representative,Phillip J. (Phil) Troyer,Republican,District 3,971
Elkhart,United States Representative,Phillip J. (Phil) Troyer,Republican,District 3,1617
Boone,United States Representative,David Sanders,Democratic,District 4,437
Clinton,United States Representative,David Sanders,Democratic,District 4,359
Clinton,United States Representative,Mark Powell,Democratic,District 4,142
Boone,United States Representative,Mark Powell,Democratic,District 4,174
Boone,United States Representative,Tara E. Nelson,Democratic,District 4,259
Clinton,United States Representative,Tara E. Nelson,Democratic,District 4,151
Clinton,United States Representative,Brandt Hershman,Republican,District 4,1285
Boone,United States Representative,Brandt Hershman,Republican,District 4,1424
Boone,United States Representative,Charles E. Henderson,Republican,District 4,94
Clinton,United States Representative,Charles E. Henderson,Republican,District 4,144
Boone,United States Representative,Cheryl Denise Allen,Republican,District 4,169
Clinton,United States Representative,Cheryl Denise Allen,Republican,District 4,215
Boone,United States Representative,Daniel L. Dunham,Republican,District 4,48
Clinton,United States Representative,Daniel L. Dunham,Republican,District 4,73
Clinton,United States Representative,Eric L. Wathen,Republican,District 4,136
Boone,United States Representative,Eric L. Wathen,Republican,District 4,360
Clinton,United States Representative,James T. (Jim) Hass,Republican,District 4,135
Boone,United States Representative,James T. (Jim) Hass,Republican,District 4,75
Clinton,United States Representative,Jon Acton,Republican,District 4,65
Boone,United States Representative,Jon Acton,Republican,District 4,294
Boone,United States Representative,LaRon (firefighter LaRon) Keith,Republican,District 4,280
Clinton,United States Representative,LaRon (firefighter LaRon) Keith,Republican,District 4,202
Boone,United States Representative,Mark Seitz,Republican,District 4,116
Clinton,United States Representative,Mark Seitz,Republican,District 4,61
Clinton,United States Representative,Mike Campbell,Republican,District 4,218
Boone,United States Representative,Mike Campbell,Republican,District 4,427
Boone,United States Representative,Phillip J. (PJ) Steffen,Republican,District 4,158
Clinton,United States Representative,Phillip J. (PJ) Steffen,Republican,District 4,41
Clinton,United States Representative,R. Michael Young,Republican,District 4,481
Boone,United States Representative,R. Michael Young,Republican,District 4,350
Boone,United States Representative,Todd Rokita,Republican,District 4,3764
Clinton,United States Representative,Todd Rokita,Republican,District 4,2029
Blackford,United States Representative,Barry Welsh,Democratic,District 6,478
Dearborn,United States Representative,Barry Welsh,Democratic,District 6,83
Decatur,United States Representative,Barry Welsh,Democratic,District 6,398
Delaware,United States Representative,Barry Welsh,Democratic,District 6,5377
Allen,United States Representative,Barry Welsh,Democratic,District 6,159
Bartholomew,United States Representative,Barry Welsh,Democratic,District 6,563
Adams,United States Representative,Barry Welsh,Democratic,District 6,530
Dearborn,United States Representative,George Thomas Holland,Democratic,District 6,94
Decatur,United States Representative,George Thomas Holland,Democratic,District 6,240
Delaware,United States Representative,George Thomas Holland,Democratic,District 6,2761
Adams,United States Representative,George Thomas Holland,Democratic,District 6,439
Bartholomew,United States Representative,George Thomas Holland,Democratic,District 6,452
Blackford,United States Representative,George Thomas Holland,Democratic,District 6,404
Allen,United States Representative,George Thomas Holland,Democratic,District 6,129
Bartholomew,United States Representative,Mike Pence,Republican,District 6,4028
Decatur,United States Representative,Mike Pence,Republican,District 6,4174
Delaware,United States Representative,Mike Pence,Republican,District 6,6523
Adams,United States Representative,Mike Pence,Republican,District 6,2975
Allen,United States Representative,Mike Pence,Republican,District 6,1138
Blackford,United States Representative,Mike Pence,Republican,District 6,926
Dearborn,United States Representative,Mike Pence,Republican,District 6,1662
Clay,United States Representative,W. Trent VanHaaften,Democratic,District 8,971
Daviess,United States Representative,W. Trent VanHaaften,Democratic,District 8,354
Daviess,United States Representative,Billy J. Mahoney,Republican,District 8,63
Clay,United States Representative,Billy J. Mahoney,Republican,District 8,61
Clay,United States Representative,Bud Bernitt,Republican,District 8,75
Daviess,United States Representative,Bud Bernitt,Republican,District 8,75
Daviess,United States Representative,Dan Stockton,Republican,District 8,106
Clay,United States Representative,Dan Stockton,Republican,District 8,269
Daviess,United States Representative,John K. Snyder,Republican,District 8,341
Clay,United States Representative,John K. Snyder,Republican,District 8,131
Clay,United States Representative,John Lee Smith,Republican,District 8,189
Daviess,United States Representative,John Lee Smith,Republican,District 8,505
Daviess,United States Representative,Kristi Risk,Republican,District 8,710
