County,Office,Candidate,Party,District,Votes
Adams,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Clark,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Clay,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
Clinton,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
Crawford,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Boone,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",13
Brown,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Decatur,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Delaware,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Elkhart,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",26
Bartholomew,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",10
Blackford,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",1
Cass,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",5
Dearborn,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",9
DeKalb,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Allen,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",51
Benton,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",3
Carroll,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
Daviess,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
Dubois,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",13
Bartholomew,Presidential Electors for US President & VP,Joseph R. Biden,Democratic,"1, 2, 3, 4, 5, 6, 7, 8, 9",12934
